ComplaintID,DateKey,Date,AirlineCode,AirportCode,Category,ComplaintStatus,DaysToResolve,ResolutionQualityScore,FollowUpRequired,ChannelSubmitted,ComplaintDescription
CP000032,20230216,2023-02-16,MH,BKI,Baggage Handling,Resolved,21,5,No,Email,Baggage delayed / damaged / lost upon arrival
CP000033,20241206,2024-12-06,D7,SBW,Flight Delay,Resolved,7,3,No,Counter,Flight delayed without adequate notification to passengers
CP000034,20230806,2023-08-06,AK,SBW,Baggage Handling,Resolved,8,5,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000035,20230603,2023-06-03,AK,SDK,Check-in Service,Resolved,6,4,No,Email,"Long queue at check-in counter, insufficient staff"
CP000036,20240524,2024-05-24,OD,IPH,In-flight Service,Escalated,,,No,Email,Poor in-flight service quality reported by passengers
CP000037,20240211,2024-02-11,OD,SDK,Flight Delay,Resolved,16,2,Yes,Social Media,Flight delayed without adequate notification to passengers
CP000038,20230405,2023-04-05,AK,LGK,Baggage Handling,Resolved,18,4,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000039,20230610,2023-06-10,MH,KUA,Flight Delay,Resolved,6,3,Yes,Email,Flight delayed without adequate notification to passengers
CP000040,20240114,2024-01-14,D7,SDK,Safety Concern,Pending,,,No,Counter,Passenger reported safety-related concern onboard
CP000041,20240203,2024-02-03,D7,SBW,Flight Delay,Pending,,,No,Counter,Flight delayed without adequate notification to passengers
CP000042,20240411,2024-04-11,AK,SBW,In-flight Service,Resolved,13,3,No,Website,Poor in-flight service quality reported by passengers
CP000043,20241116,2024-11-16,MF,KCH,Flight Delay,Resolved,16,2,No,Website,Flight delayed without adequate notification to passengers
CP000044,20230521,2023-05-21,FY,SDK,Flight Delay,In Progress,5,,No,Phone,Flight delayed without adequate notification to passengers
CP000045,20230928,2023-09-28,MF,KBR,Baggage Handling,Resolved,7,3,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000046,20230210,2023-02-10,OD,BKI,In-flight Service,Resolved,1,3,No,Counter,Poor in-flight service quality reported by passengers
CP000047,20230622,2023-06-22,D7,KBR,Flight Delay,Escalated,,,No,Email,Flight delayed without adequate notification to passengers
CP000048,20230415,2023-04-15,D7,KBR,Flight Delay,Resolved,21,5,No,Website,Flight delayed without adequate notification to passengers
CP000049,20230421,2023-04-21,AK,KUA,Flight Delay,Resolved,7,3,No,Website,Flight delayed without adequate notification to passengers
CP000050,20240225,2024-02-25,OD,SBW,Flight Delay,Resolved,8,2,No,Email,Flight delayed without adequate notification to passengers
CP000051,20230224,2023-02-24,FY,TGG,Flight Delay,Pending,,,No,Email,Flight delayed without adequate notification to passengers
CP000052,20240119,2024-01-19,AK,BKI,Flight Delay,In Progress,33,,Yes,Website,Flight delayed without adequate notification to passengers
CP000053,20240314,2024-03-14,D7,TWU,Flight Delay,Resolved,16,5,No,Website,Flight delayed without adequate notification to passengers
CP000054,20230728,2023-07-28,MH,LGK,Baggage Handling,Resolved,18,2,Yes,Social Media,Baggage delayed / damaged / lost upon arrival
CP000055,20240101,2024-01-01,D7,KUA,Flight Delay,In Progress,5,,Yes,Email,Flight delayed without adequate notification to passengers
CP000056,20231225,2023-12-25,D7,AOR,Flight Delay,Escalated,,,Yes,Email,Flight delayed without adequate notification to passengers
CP000057,20240219,2024-02-19,AK,KBR,Baggage Handling,Resolved,12,3,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000058,20230124,2023-01-24,OD,BKI,Flight Delay,Resolved,19,5,No,Social Media,Flight delayed without adequate notification to passengers
CP000059,20240626,2024-06-26,AK,TWU,In-flight Service,Resolved,5,5,Yes,Phone,Poor in-flight service quality reported by passengers
CP000060,20240721,2024-07-21,AK,KUA,Baggage Handling,Resolved,18,3,No,Website,Baggage delayed / damaged / lost upon arrival
CP000061,20230724,2023-07-24,MH,TGG,Flight Delay,In Progress,42,,No,Counter,Flight delayed without adequate notification to passengers
CP000062,20231121,2023-11-21,MH,KCH,Baggage Handling,Resolved,20,5,No,Social Media,Baggage delayed / damaged / lost upon arrival
CP000063,20230112,2023-01-12,FY,IPH,Refund/Compensation,Resolved,15,4,No,Social Media,Delay in processing refund or compensation claim
CP000064,20230728,2023-07-28,AK,BKI,Flight Delay,Resolved,16,4,Yes,Email,Flight delayed without adequate notification to passengers
CP000065,20231215,2023-12-15,OD,SBW,Ground Staff Attitude,Pending,,,No,Phone,Unprofessional behaviour from ground handling staff
CP000066,20231128,2023-11-28,FY,IPH,Flight Delay,Resolved,20,4,No,Counter,Flight delayed without adequate notification to passengers
CP000067,20240329,2024-03-29,MH,SDK,Ground Staff Attitude,Resolved,7,3,No,Email,Unprofessional behaviour from ground handling staff
CP000068,20230713,2023-07-13,MH,JHB,Flight Delay,Resolved,17,4,No,Email,Flight delayed without adequate notification to passengers
CP000069,20240916,2024-09-16,AK,KBR,Flight Delay,Resolved,1,5,No,Social Media,Flight delayed without adequate notification to passengers
CP000070,20230311,2023-03-11,AK,TWU,Baggage Handling,In Progress,22,,No,Email,Baggage delayed / damaged / lost upon arrival
CP000071,20231102,2023-11-02,FY,PEN,Check-in Service,Resolved,4,3,No,Counter,"Long queue at check-in counter, insufficient staff"
CP000072,20230704,2023-07-04,OD,LGK,Baggage Handling,Resolved,5,3,Yes,Phone,Baggage delayed / damaged / lost upon arrival
CP000073,20230409,2023-04-09,AK,KCH,Refund/Compensation,Resolved,14,5,No,Email,Delay in processing refund or compensation claim
CP000074,20231121,2023-11-21,AK,LGK,Ground Staff Attitude,Escalated,,,Yes,Counter,Unprofessional behaviour from ground handling staff
CP000075,20231115,2023-11-15,AK,TWU,Flight Delay,Escalated,,,No,Phone,Flight delayed without adequate notification to passengers
CP000076,20230111,2023-01-11,MH,IPH,Check-in Service,Resolved,15,2,No,Website,"Long queue at check-in counter, insufficient staff"
CP000077,20231116,2023-11-16,AK,KUA,Refund/Compensation,In Progress,17,,Yes,Social Media,Delay in processing refund or compensation claim
CP000078,20240214,2024-02-14,AK,TWU,Check-in Service,Resolved,12,5,No,Email,"Long queue at check-in counter, insufficient staff"
CP000079,20240715,2024-07-15,FY,SBW,In-flight Service,Resolved,7,4,No,Counter,Poor in-flight service quality reported by passengers
CP000080,20230406,2023-04-06,FY,MYY,Flight Delay,In Progress,38,,No,Counter,Flight delayed without adequate notification to passengers
CP000081,20240430,2024-04-30,MF,JHB,Refund/Compensation,Resolved,13,4,No,Counter,Delay in processing refund or compensation claim
CP000082,20230922,2023-09-22,OD,PEN,Check-in Service,Resolved,4,4,Yes,Website,"Long queue at check-in counter, insufficient staff"
CP000083,20230112,2023-01-12,MH,LGK,Flight Delay,Pending,,,Yes,Website,Flight delayed without adequate notification to passengers
CP000084,20230409,2023-04-09,OD,IPH,Flight Delay,In Progress,5,,No,Website,Flight delayed without adequate notification to passengers
CP000085,20240523,2024-05-23,MH,SDK,Check-in Service,In Progress,17,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP000086,20230709,2023-07-09,MF,BKI,Baggage Handling,Resolved,15,2,No,Email,Baggage delayed / damaged / lost upon arrival
CP000087,20240730,2024-07-30,AK,PEN,Ground Staff Attitude,Resolved,18,3,Yes,Email,Unprofessional behaviour from ground handling staff
CP000088,20240705,2024-07-05,OD,KUL,Flight Delay,Resolved,1,4,No,Counter,Flight delayed without adequate notification to passengers
CP000089,20241019,2024-10-19,AK,KBR,Flight Delay,Resolved,10,3,Yes,Counter,Flight delayed without adequate notification to passengers
CP000090,20230927,2023-09-27,AK,BKI,Flight Delay,Resolved,6,3,Yes,Counter,Flight delayed without adequate notification to passengers
CP000091,20240701,2024-07-01,MH,KUL,In-flight Service,In Progress,39,,No,Counter,Poor in-flight service quality reported by passengers
CP000092,20240515,2024-05-15,OD,BKI,Check-in Service,Resolved,2,2,No,Email,"Long queue at check-in counter, insufficient staff"
CP000093,20240825,2024-08-25,MF,BKI,Flight Delay,Escalated,,,No,Counter,Flight delayed without adequate notification to passengers
CP000094,20240103,2024-01-03,D7,IPH,In-flight Service,In Progress,26,,No,Counter,Poor in-flight service quality reported by passengers
CP000095,20240219,2024-02-19,AK,TWU,Flight Delay,In Progress,30,,No,Counter,Flight delayed without adequate notification to passengers
CP000096,20231229,2023-12-29,FY,KUA,Baggage Handling,Resolved,11,3,Yes,Phone,Baggage delayed / damaged / lost upon arrival
CP000097,20240129,2024-01-29,OD,JHB,Flight Delay,Resolved,15,5,Yes,Website,Flight delayed without adequate notification to passengers
CP000098,20230707,2023-07-07,FY,PEN,Ground Staff Attitude,Resolved,8,3,No,Social Media,Unprofessional behaviour from ground handling staff
CP000099,20231028,2023-10-28,AK,KCH,Flight Delay,In Progress,10,,No,Website,Flight delayed without adequate notification to passengers
CP000100,20240601,2024-06-01,D7,JHB,Baggage Handling,Resolved,19,5,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000101,20240918,2024-09-18,MF,KUA,Baggage Handling,In Progress,7,,No,Website,Baggage delayed / damaged / lost upon arrival
CP000102,20241014,2024-10-14,AK,JHB,Baggage Handling,Resolved,15,2,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000103,20240320,2024-03-20,D7,SDK,Flight Delay,Resolved,11,2,Yes,Website,Flight delayed without adequate notification to passengers
CP000104,20230506,2023-05-06,MH,IPH,Cleanliness,Pending,,,No,Counter,Aircraft or terminal cleanliness below acceptable standard
CP000105,20240626,2024-06-26,AK,LGK,Check-in Service,Resolved,21,5,Yes,Phone,"Long queue at check-in counter, insufficient staff"
CP000106,20240224,2024-02-24,MF,JHB,Flight Delay,Resolved,11,4,Yes,Website,Flight delayed without adequate notification to passengers
CP000107,20230104,2023-01-04,MF,LGK,Refund/Compensation,Resolved,16,4,Yes,Phone,Delay in processing refund or compensation claim
CP000108,20231229,2023-12-29,AK,SBW,Check-in Service,Resolved,7,5,Yes,Email,"Long queue at check-in counter, insufficient staff"
CP000109,20240419,2024-04-19,FY,LGK,Cleanliness,Resolved,20,2,No,Website,Aircraft or terminal cleanliness below acceptable standard
CP000110,20240827,2024-08-27,MF,SBW,Refund/Compensation,Pending,,,Yes,Email,Delay in processing refund or compensation claim
CP000111,20240803,2024-08-03,AK,KUA,Flight Delay,Resolved,13,2,Yes,Phone,Flight delayed without adequate notification to passengers
CP000112,20241215,2024-12-15,AK,TWU,In-flight Service,Pending,,,No,Phone,Poor in-flight service quality reported by passengers
CP000113,20240603,2024-06-03,D7,TGG,Check-in Service,Resolved,13,4,No,Website,"Long queue at check-in counter, insufficient staff"
CP000114,20231124,2023-11-24,MH,PEN,Flight Delay,In Progress,12,,No,Counter,Flight delayed without adequate notification to passengers
CP000115,20230610,2023-06-10,AK,KBR,Ground Staff Attitude,In Progress,39,,Yes,Counter,Unprofessional behaviour from ground handling staff
CP000116,20230602,2023-06-02,MF,SDK,In-flight Service,Pending,,,No,Phone,Poor in-flight service quality reported by passengers
CP000117,20230910,2023-09-10,AK,KCH,Refund/Compensation,Resolved,1,5,No,Website,Delay in processing refund or compensation claim
CP000118,20230930,2023-09-30,MH,JHB,Flight Delay,Resolved,13,3,No,Email,Flight delayed without adequate notification to passengers
CP000119,20230821,2023-08-21,AK,PEN,Refund/Compensation,Resolved,21,2,No,Phone,Delay in processing refund or compensation claim
CP000120,20230811,2023-08-11,OD,AOR,Check-in Service,Resolved,21,2,No,Phone,"Long queue at check-in counter, insufficient staff"
CP000121,20241025,2024-10-25,D7,JHB,Check-in Service,In Progress,17,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP000122,20230719,2023-07-19,MF,KUA,Ground Staff Attitude,Pending,,,Yes,Email,Unprofessional behaviour from ground handling staff
CP000123,20230331,2023-03-31,MF,SBW,Flight Delay,Resolved,21,4,No,Email,Flight delayed without adequate notification to passengers
CP000124,20230320,2023-03-20,MH,TWU,Check-in Service,Resolved,12,2,Yes,Email,"Long queue at check-in counter, insufficient staff"
CP000125,20240205,2024-02-05,AK,KBR,Cleanliness,In Progress,12,,No,Phone,Aircraft or terminal cleanliness below acceptable standard
CP000126,20240508,2024-05-08,OD,TGG,In-flight Service,In Progress,5,,Yes,Email,Poor in-flight service quality reported by passengers
CP000127,20240501,2024-05-01,MH,TWU,Refund/Compensation,Resolved,12,3,Yes,Website,Delay in processing refund or compensation claim
CP000128,20241112,2024-11-12,AK,KBR,Flight Delay,Resolved,2,2,Yes,Phone,Flight delayed without adequate notification to passengers
CP000129,20240114,2024-01-14,MH,SBW,Flight Delay,Resolved,4,2,No,Email,Flight delayed without adequate notification to passengers
CP000130,20241205,2024-12-05,OD,AOR,Baggage Handling,In Progress,5,,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000131,20230715,2023-07-15,MF,KCH,Baggage Handling,In Progress,14,,Yes,Email,Baggage delayed / damaged / lost upon arrival
CP000132,20230114,2023-01-14,MH,TGG,Flight Delay,Resolved,12,4,No,Counter,Flight delayed without adequate notification to passengers
CP000133,20230730,2023-07-30,AK,SBW,Flight Delay,In Progress,34,,No,Counter,Flight delayed without adequate notification to passengers
CP000134,20240808,2024-08-08,AK,BKI,Other,Escalated,,,Yes,Phone,Miscellaneous passenger complaint
CP000135,20230601,2023-06-01,AK,TGG,Flight Delay,Resolved,16,3,No,Email,Flight delayed without adequate notification to passengers
CP000136,20231217,2023-12-17,FY,SDK,Cleanliness,Resolved,14,4,Yes,Website,Aircraft or terminal cleanliness below acceptable standard
CP000137,20240404,2024-04-04,AK,PEN,Safety Concern,Resolved,9,5,Yes,Social Media,Passenger reported safety-related concern onboard
CP000138,20231221,2023-12-21,MH,KUL,Flight Delay,Resolved,9,2,Yes,Counter,Flight delayed without adequate notification to passengers
CP000139,20240916,2024-09-16,D7,KCH,In-flight Service,Resolved,6,5,No,Counter,Poor in-flight service quality reported by passengers
CP000140,20231028,2023-10-28,AK,KCH,In-flight Service,Resolved,9,4,Yes,Counter,Poor in-flight service quality reported by passengers
CP000141,20240628,2024-06-28,MF,LGK,Refund/Compensation,Resolved,1,3,No,Counter,Delay in processing refund or compensation claim
CP000142,20240210,2024-02-10,OD,SDK,Baggage Handling,In Progress,33,,No,Email,Baggage delayed / damaged / lost upon arrival
CP000143,20241129,2024-11-29,MH,MYY,Flight Delay,Resolved,20,4,No,Social Media,Flight delayed without adequate notification to passengers
CP000144,20240712,2024-07-12,AK,SBW,In-flight Service,Pending,,,No,Phone,Poor in-flight service quality reported by passengers
CP000145,20230922,2023-09-22,OD,BKI,Flight Delay,Resolved,4,4,No,Website,Flight delayed without adequate notification to passengers
CP000146,20231101,2023-11-01,AK,SBW,Baggage Handling,Resolved,3,4,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000147,20240126,2024-01-26,MF,TGG,Baggage Handling,In Progress,8,,No,Website,Baggage delayed / damaged / lost upon arrival
CP000148,20240515,2024-05-15,MH,SBW,Flight Delay,Escalated,,,Yes,Counter,Flight delayed without adequate notification to passengers
CP000149,20241010,2024-10-10,AK,LGK,Flight Delay,Escalated,,,No,Email,Flight delayed without adequate notification to passengers
CP000150,20231112,2023-11-12,MF,KCH,Refund/Compensation,Resolved,13,2,No,Website,Delay in processing refund or compensation claim
CP000151,20240926,2024-09-26,AK,BKI,Flight Delay,In Progress,33,,No,Website,Flight delayed without adequate notification to passengers
CP000152,20241023,2024-10-23,MH,KCH,Check-in Service,In Progress,9,,No,Phone,"Long queue at check-in counter, insufficient staff"
CP000153,20231010,2023-10-10,AK,KUA,Flight Delay,In Progress,19,,No,Website,Flight delayed without adequate notification to passengers
CP000154,20240605,2024-06-05,MF,IPH,Flight Delay,Escalated,,,No,Counter,Flight delayed without adequate notification to passengers
CP000155,20230603,2023-06-03,FY,SBW,Flight Delay,In Progress,17,,Yes,Counter,Flight delayed without adequate notification to passengers
CP000156,20240113,2024-01-13,MH,KCH,In-flight Service,Resolved,7,4,No,Counter,Poor in-flight service quality reported by passengers
CP000157,20230730,2023-07-30,AK,IPH,Baggage Handling,Resolved,12,4,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000158,20230813,2023-08-13,D7,BKI,Flight Delay,Resolved,20,3,No,Email,Flight delayed without adequate notification to passengers
CP000159,20241205,2024-12-05,AK,BKI,Check-in Service,Resolved,5,2,No,Counter,"Long queue at check-in counter, insufficient staff"
CP000160,20230427,2023-04-27,OD,KUL,Check-in Service,Resolved,14,5,No,Website,"Long queue at check-in counter, insufficient staff"
CP000161,20241201,2024-12-01,AK,AOR,Ground Staff Attitude,Pending,,,Yes,Website,Unprofessional behaviour from ground handling staff
CP000162,20240906,2024-09-06,AK,PEN,Flight Delay,In Progress,18,,No,Counter,Flight delayed without adequate notification to passengers
CP000163,20241006,2024-10-06,OD,LGK,Baggage Handling,Resolved,10,2,No,Phone,Baggage delayed / damaged / lost upon arrival
CP000164,20240111,2024-01-11,MH,SBW,Flight Delay,Resolved,8,4,No,Phone,Flight delayed without adequate notification to passengers
CP000165,20240203,2024-02-03,FY,KUA,In-flight Service,Resolved,13,5,No,Phone,Poor in-flight service quality reported by passengers
CP000166,20231208,2023-12-08,AK,AOR,Refund/Compensation,Resolved,21,4,Yes,Email,Delay in processing refund or compensation claim
CP000167,20240223,2024-02-23,AK,KBR,Baggage Handling,In Progress,33,,No,Phone,Baggage delayed / damaged / lost upon arrival
CP000168,20230815,2023-08-15,FY,IPH,Flight Delay,Resolved,1,2,No,Counter,Flight delayed without adequate notification to passengers
CP000169,20230221,2023-02-21,MF,KUA,Baggage Handling,Resolved,8,3,No,Email,Baggage delayed / damaged / lost upon arrival
CP000170,20230319,2023-03-19,MH,TWU,Refund/Compensation,Resolved,3,3,Yes,Email,Delay in processing refund or compensation claim
CP000171,20230610,2023-06-10,MF,SDK,Flight Delay,Resolved,13,2,No,Counter,Flight delayed without adequate notification to passengers
CP000172,20240306,2024-03-06,D7,TWU,Check-in Service,Resolved,9,2,No,Phone,"Long queue at check-in counter, insufficient staff"
CP000173,20230922,2023-09-22,MF,KCH,Flight Delay,Resolved,15,3,No,Website,Flight delayed without adequate notification to passengers
CP000174,20230927,2023-09-27,OD,TGG,Flight Delay,In Progress,44,,Yes,Website,Flight delayed without adequate notification to passengers
CP000175,20230315,2023-03-15,AK,KUA,Baggage Handling,Escalated,,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP000176,20240503,2024-05-03,AK,KUL,Check-in Service,In Progress,36,,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP000177,20231202,2023-12-02,D7,KUA,Baggage Handling,Resolved,14,4,No,Phone,Baggage delayed / damaged / lost upon arrival
CP000178,20230626,2023-06-26,MF,KUA,Flight Delay,In Progress,16,,No,Website,Flight delayed without adequate notification to passengers
CP000179,20241229,2024-12-29,MF,KUL,Flight Delay,Resolved,7,5,No,Website,Flight delayed without adequate notification to passengers
CP000180,20231028,2023-10-28,AK,MYY,Flight Delay,Resolved,4,5,No,Counter,Flight delayed without adequate notification to passengers
CP000181,20230526,2023-05-26,AK,SDK,Flight Delay,Resolved,13,3,No,Counter,Flight delayed without adequate notification to passengers
CP000182,20240410,2024-04-10,D7,SBW,Flight Delay,In Progress,40,,No,Phone,Flight delayed without adequate notification to passengers
CP000183,20230826,2023-08-26,MH,PEN,In-flight Service,Resolved,19,2,No,Phone,Poor in-flight service quality reported by passengers
CP000184,20240220,2024-02-20,AK,LGK,Check-in Service,Resolved,21,2,No,Email,"Long queue at check-in counter, insufficient staff"
CP000185,20230128,2023-01-28,FY,MYY,In-flight Service,Escalated,,,No,Website,Poor in-flight service quality reported by passengers
CP000186,20230807,2023-08-07,AK,BKI,Flight Delay,Resolved,11,5,No,Email,Flight delayed without adequate notification to passengers
CP000187,20231019,2023-10-19,FY,KCH,Baggage Handling,Resolved,19,4,No,Website,Baggage delayed / damaged / lost upon arrival
CP000188,20231113,2023-11-13,OD,TWU,Check-in Service,Resolved,19,4,No,Phone,"Long queue at check-in counter, insufficient staff"
CP000189,20241121,2024-11-21,AK,JHB,Check-in Service,Resolved,13,4,Yes,Phone,"Long queue at check-in counter, insufficient staff"
CP000190,20241229,2024-12-29,MF,KUL,Flight Delay,Pending,,,No,Social Media,Flight delayed without adequate notification to passengers
CP000191,20230701,2023-07-01,D7,BKI,In-flight Service,Resolved,20,5,No,Website,Poor in-flight service quality reported by passengers
CP000192,20241028,2024-10-28,MF,MYY,Safety Concern,Pending,,,No,Website,Passenger reported safety-related concern onboard
CP000193,20230427,2023-04-27,FY,TWU,Flight Delay,Resolved,6,4,Yes,Phone,Flight delayed without adequate notification to passengers
CP000194,20240723,2024-07-23,MF,KCH,In-flight Service,Resolved,11,3,No,Phone,Poor in-flight service quality reported by passengers
CP000195,20241023,2024-10-23,D7,KBR,Cleanliness,Resolved,21,4,No,Social Media,Aircraft or terminal cleanliness below acceptable standard
CP000196,20241006,2024-10-06,MF,MYY,Flight Delay,In Progress,19,,No,Email,Flight delayed without adequate notification to passengers
CP000197,20240314,2024-03-14,FY,AOR,Flight Delay,Resolved,1,3,No,Email,Flight delayed without adequate notification to passengers
CP000198,20241014,2024-10-14,FY,BKI,In-flight Service,Pending,,,No,Counter,Poor in-flight service quality reported by passengers
CP000199,20240819,2024-08-19,MF,BKI,Flight Delay,In Progress,9,,No,Social Media,Flight delayed without adequate notification to passengers
CP000200,20230717,2023-07-17,MH,MYY,Check-in Service,In Progress,38,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP000201,20231213,2023-12-13,FY,MYY,Baggage Handling,Resolved,3,2,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000202,20230204,2023-02-04,FY,SDK,Flight Delay,Resolved,19,4,No,Email,Flight delayed without adequate notification to passengers
CP000203,20231117,2023-11-17,AK,PEN,Flight Delay,In Progress,10,,No,Website,Flight delayed without adequate notification to passengers
CP000204,20240715,2024-07-15,AK,SDK,Check-in Service,Pending,,,No,Website,"Long queue at check-in counter, insufficient staff"
CP000205,20240419,2024-04-19,FY,BKI,Ground Staff Attitude,Escalated,,,No,Phone,Unprofessional behaviour from ground handling staff
CP000206,20230310,2023-03-10,FY,AOR,Flight Delay,Pending,,,No,Email,Flight delayed without adequate notification to passengers
CP000207,20240426,2024-04-26,AK,KUA,Refund/Compensation,Resolved,7,2,No,Email,Delay in processing refund or compensation claim
CP000208,20231208,2023-12-08,D7,BKI,Refund/Compensation,Pending,,,Yes,Phone,Delay in processing refund or compensation claim
CP000209,20231205,2023-12-05,MH,TWU,Flight Delay,Resolved,16,2,Yes,Counter,Flight delayed without adequate notification to passengers
CP000210,20240405,2024-04-05,AK,TGG,Cleanliness,Resolved,16,2,No,Website,Aircraft or terminal cleanliness below acceptable standard
CP000211,20241107,2024-11-07,AK,MYY,Baggage Handling,In Progress,40,,No,Website,Baggage delayed / damaged / lost upon arrival
CP000212,20231216,2023-12-16,AK,LGK,Ground Staff Attitude,In Progress,19,,Yes,Website,Unprofessional behaviour from ground handling staff
CP000213,20240406,2024-04-06,MH,KUL,Baggage Handling,In Progress,8,,No,Email,Baggage delayed / damaged / lost upon arrival
CP000214,20230619,2023-06-19,AK,AOR,Flight Delay,Pending,,,No,Social Media,Flight delayed without adequate notification to passengers
CP000215,20240330,2024-03-30,OD,KUL,Baggage Handling,Resolved,7,4,No,Email,Baggage delayed / damaged / lost upon arrival
CP000216,20240603,2024-06-03,AK,AOR,Flight Delay,Resolved,5,5,No,Counter,Flight delayed without adequate notification to passengers
CP000217,20240305,2024-03-05,AK,PEN,Ground Staff Attitude,In Progress,37,,No,Counter,Unprofessional behaviour from ground handling staff
CP000218,20231208,2023-12-08,AK,SDK,Baggage Handling,In Progress,14,,Yes,Counter,Baggage delayed / damaged / lost upon arrival
CP000219,20240522,2024-05-22,AK,KCH,Refund/Compensation,Pending,,,No,Website,Delay in processing refund or compensation claim
